State,County Name,FIPS,Number of Dem Votes,Number of GOP Votes,Percent With No High School,Percent With Only High School,Percent With Some College, Percent With Bachelor's or more,Percent of County Population Below Poverty
AR,Miller,5091,4273.0,11293.0,14.5,39.2,31.8,14.5,3.2825349096790357
AR,Mississippi,5093,5621.0,6988.0,19.6,36.8,30.9,12.6,8.586008833154077
AR,Nevada,5099,1156.0,2001.0,16.9,45.0,23.1,15.1,30.574067578627385
AR,Newton,5101,699.0,2875.0,19.6,40.7,24.9,14.8,21.620598258235514
AR,Ouachita,5103,4320.0,5347.0,13.8,42.6,26.9,16.6,24.497332786212556
AR,Phillips,5107,4292.0,2443.0,23.6,31.4,33.3,11.7,2.5749974403603972
AR,Poinsett,5111,1878.0,3149.0,21.3,42.5,26.7,9.6,21.799567171633093
AR,Polk,5113,1210.0,6606.0,15.7,36.9,35.1,12.3,2.0667490729295426
AR,Pope,5115,4818.0,15694.0,16.5,33.8,28.4,21.3,0.9513009513009513
AR,Prairie,5117,812.0,2503.0,17.6,43.4,26.0,13.0,3.0797101449275366
AR,Pulaski,5119,89377.0,61182.0,9.9,27.1,30.1,32.9,0.2674763063329024
AR,Saline,5125,13247.0,35852.0,10.7,33.4,31.3,24.5,1.3514204400211318
AR,Scott,5127,507.0,2378.0,23.6,38.5,27.4,10.6,2.378686964795433
AR,Searcy,5129,601.0,2955.0,15.4,42.1,28.1,14.4,20.62420382165605
AR,Sebastian,5131,12184.0,28769.0,17.5,31.9,31.8,18.8,21.74543459518771
AR,Sevier,5133,1075.0,3281.0,30.4,34.6,25.7,9.4,17.25879484500174
AR,Sharp,5135,1472.0,5405.0,16.8,43.2,30.0,10.1,21.918374579174298
AR,St. Francis,5123,4031.0,3195.0,22.0,38.7,28.8,10.4,21.675822108510797
AR,Stone,5137,1189.0,4081.0,23.5,35.1,27.0,14.4,23.531777956556716
AR,Union,5139,5667.0,10201.0,16.3,36.0,28.6,19.2,1.528960605607849
AR,Van Buren,5141,1547.0,5382.0,15.7,45.2,25.5,13.6,6.30512514898689
AR,White,5145,5157.0,21038.0,16.0,38.2,26.5,19.3,2.4806044574943362
AR,Woodruff,5147,1117.0,1344.0,24.5,45.4,19.9,10.2,24.11178831574253
AR,Yell,5149,1472.0,4600.0,22.1,40.9,22.6,14.4,17.2999490905725
AZ,Apache,4001,12196.0,5315.0,21.8,33.5,33.7,11.1,35.8381987317373
AZ,Cochise,4003,15291.0,25036.0,13.4,23.2,40.2,23.2,17.551327188575495
AZ,Coconino,4005,25308.0,16573.0,11.1,21.6,33.1,34.2,20.271650033075442
AZ,Gila,4007,6746.0,13672.0,15.7,28.7,37.9,17.7,20.883360307124846
AZ,Graham,4009,3301.0,8025.0,14.6,32.9,39.2,13.3,0.6954582857749583
AZ,Greenlee,4011,1092.0,1892.0,12.1,36.8,38.9,12.2,12.766404199475065
AZ,La Paz,4012,1318.0,3381.0,24.8,36.4,28.3,10.4,21.06020747505832
AZ,Maricopa,4013,549040.0,590465.0,13.1,22.9,33.0,31.0,16.0156448051572
AZ,Mohave,4015,16485.0,54656.0,16.1,36.0,36.0,11.9,18.55558004555139
AZ,Navajo,4017,15362.0,18165.0,18.5,30.3,36.7,14.5,29.138174469145373
AZ,Pima,4019,195649.0,147019.0,12.3,22.6,34.4,30.8,18.47828566610957
AZ,Pinal,4021,35737.0,53857.0,15.1,29.2,37.2,18.5,15.122347496430505
AZ,Santa Cruz,4023,10684.0,3650.0,25.2,26.2,26.1,22.5,21.85447688406268
AZ,Yavapai,4025,29705.0,58862.0,9.8,25.8,38.8,25.5,14.221243411076612
AZ,Yuma,4027,18336.0,20586.0,28.3,25.6,31.8,14.4,0.7162282897901878
CA,Alameda,6001,486351.0,91189.0,12.7,18.0,25.4,43.9,11.611719390695557
CA,Alpine,6003,318.0,211.0,8.9,32.5,28.9,29.7,19.981916817359853
CA,Amador,6005,5904.0,10239.0,11.7,26.8,40.1,21.5,9.949765029978934
CA,Butte,6007,38676.0,42193.0,11.7,22.7,39.4,26.1,0.1758038810038579
CA,Calaveras,6009,7738.0,13072.0,9.6,27.2,43.0,20.2,12.58028545941124
CA,Colusa,6011,2659.0,3551.0,31.9,21.8,31.8,14.4,13.41120180129468
CA,Contra Costa,6013,286658.0,105819.0,10.9,18.2,30.6,40.3,9.96429051548613
CA,Del Norte,6015,3485.0,5134.0,17.8,30.7,36.5,14.9,19.116515878539246
CA,El Dorado,6017,35243.0,47633.0,7.4,21.8,37.9,33.0,9.676229530427047
CA,Fresno,6019,123660.0,113949.0,26.2,22.7,31.3,19.7,26.217892668676
CA,Glenn,6021,3065.0,5788.0,27.5,27.9,32.0,12.7,19.949214978005077
CA,Humboldt,6023,19596.0,10883.0,9.7,24.7,37.4,28.2,0.9498976976429832
CA,Imperial,6025,28467.0,11295.0,33.0,22.5,30.6,14.0,22.553196222595464
CA,Inyo,6027,3155.0,4248.0,11.5,31.2,32.8,24.5,10.437784231001041
CA,Kern,6029,86481.0,119164.0,26.4,27.2,30.7,15.7,22.098313013006297
CA,Kings,6031,12902.0,17446.0,27.1,26.4,33.7,12.8,19.06526265374407
CA,Lake,6033,6240.0,5752.0,16.3,27.8,39.7,16.2,1.297210067343202
CA,Lassen,6035,2224.0,7574.0,18.6,30.9,38.0,12.5,11.355439951488846
CA,Los Angeles,6037,1893770.0,620285.0,22.3,20.7,26.3,30.8,17.44497147273284
CA,Madera,6039,13283.0,19221.0,28.3,25.9,32.7,13.1,20.76588078234158
CA,Marin,6041,86650.0,17531.0,6.9,11.3,24.8,57.1,7.831712978923901
CA,Mariposa,6043,3122.0,5185.0,10.5,28.4,38.5,22.6,16.230843730416453
CA,Mendocino,6045,6905.0,3571.0,13.5,26.2,36.3,24.1,19.8802559728916
CA,Merced,6047,21856.0,18486.0,31.4,25.2,29.7,13.7,23.459665070516397
CA,Modoc,6049,798.0,2413.0,13.6,27.1,41.1,18.3,16.601365722601592
CA,Mono,6051,2696.0,2080.0,16.0,18.0,35.4,30.6,8.800864241987757
CA,Monterey,6053,64733.0,26378.0,29.1,20.4,26.9,23.6,15.344427289372625
CA,Napa,6055,26161.0,11946.0,16.1,18.8,32.1,33.0,8.520027634046274
CA,Orange,6059,556544.0,472669.0,15.5,17.4,28.6,38.4,0.09934824887623381
CA,Placer,6061,61969.0,78977.0,5.8,19.2,38.1,36.9,8.529233432073571
CA,Plumas,6063,3224.0,5079.0,8.1,23.9,46.1,21.9,12.749307102874843
CA,Riverside,6065,339145.0,309514.0,19.5,25.9,33.4,21.2,16.00961710099741
CA,Sacramento,6067,273768.0,163024.0,13.2,22.4,35.1,29.3,17.430798506525267
CA,San Benito,6069,10050.0,6471.0,21.7,24.6,34.7,19.0,10.644228960374875
CA,San Bernardino,6071,312517.0,253962.0,21.2,26.2,33.3,19.3,18.47758233629911
CA,San Diego,6073,567243.0,386807.0,13.6,18.8,31.1,36.5,13.495165253651322
CA,San Francisco,6075,312443.0,34493.0,12.6,12.5,20.2,54.8,12.085790785193572
CA,San Joaquin,6077,89791.0,68316.0,22.0,26.6,33.2,18.2,17.220136669725886
CA,San Luis Obispo,6079,63001.0,52672.0,9.9,19.4,36.7,34.1,13.243166287015946
CA,San Mateo,6081,219580.0,53731.0,11.4,15.9,25.6,47.1,7.5328456441441265
CA,Santa Barbara,6083,100120.0,53740.0,19.9,17.9,29.9,32.2,15.069341955544541
CA,Santa Clara,6085,483472.0,137452.0,12.9,14.8,23.2,49.1,9.015891796524276
CA,Shasta,6089,20471.0,47587.0,10.0,25.5,44.4,20.1,17.258687904696572
CA,Sierra,6091,601.0,1048.0,11.0,26.5,42.7,19.8,11.029165269862554
CA,Siskiyou,6093,7106.0,11212.0,11.4,25.4,41.0,22.2,21.902812593427317
CA,Solano,6095,97159.0,49595.0,12.5,23.5,38.9,25.1,12.263970657647224
CA,Sonoma,6097,116027.0,37421.0,12.8,19.4,34.7,33.1,10.986611469388244
CA,Stanislaus,6099,73939.0,72960.0,22.4,28.1,33.0,16.5,17.882271636299112
CA,Sutter,6101,11831.0,16780.0,20.8,24.4,36.9,17.9,17.22790639521557
CA,Tehama,6103,6571.0,14981.0,17.1,31.1,38.0,13.8,21.186561603221662
CA,Trinity,6105,1876.0,2409.0,9.3,32.4,38.2,20.1,16.880930517294154
CA,Tulare,6107,39099.0,50488.0,31.8,25.4,28.8,14.0,27.743225136282888
CA,Tuolumne,6109,8580.0,13486.0,10.2,28.6,41.4,19.7,13.384314091205821
CA,Ventura,6111,170489.0,118764.0,16.6,18.8,32.5,32.2,10.438128672354873
CA,Yolo,6113,34460.0,13178.0,14.4,19.2,26.4,40.0,18.330647213504115
CA,Yuba,6115,7234.0,12313.0,17.8,24.3,42.3,15.5,20.296370072275536
CO,Adams,8001,86471.0,73807.0,17.8,28.5,31.3,22.4,0.04911611375373466
CO,Alamosa,8003,3168.0,3031.0,16.2,24.4,33.6,25.8,29.120778825676908
CO,Arapahoe,8005,148365.0,109638.0,7.7,20.6,31.0,40.7,10.390772374972387
CO,Archuleta,8007,2489.0,4234.0,8.6,25.6,30.8,34.9,11.054586563307494
CO,Baca,8009,278.0,1716.0,13.7,29.6,34.9,21.8,17.616004445679355
CO,Bent,8011,581.0,1166.0,15.8,45.5,29.3,9.5,16.004752206381532
CO,Boulder,8013,124715.0,38766.0,5.5,12.9,22.3,59.3,12.779147763994253
CO,Broomfield,8014,19530.0,14272.0,3.9,15.0,28.5,52.5,5.651537335285505
CO,Chaffee,8015,4773.0,5283.0,8.3,26.2,31.1,34.4,8.991723100075244
CO,Cheyenne,8017,127.0,905.0,9.4,34.0,33.3,23.3,12.610132158590309
CO,Clear Creek,8019,2585.0,2426.0,3.1,20.3,32.0,44.6,7.229816317812901
CO,Conejos,8021,1753.0,1885.0,16.0,31.7,34.0,18.3,22.215384615384615
CO,Costilla,8023,1109.0,581.0,23.0,26.4,30.6,20.0,30.648330058939095
CO,Crowley,8025,336.0,1069.0,17.2,40.4,32.2,10.2,26.228054619613406
CO,Custer,8027,797.0,2059.0,8.3,21.8,40.5,29.4,17.44632768361582
CO,Delta,8029,4048.0,11584.0,12.0,36.9,31.5,19.6,3.706176961602671
